title,other_title,director,actors,year,area,genre,rating,rating_people,quote,detail_url
肖申克的救赎,/ 月黑高飞(港)  /  刺激1995(台),弗兰克·德拉邦特 Frank Darabont,蒂姆·罗宾斯 Tim Robbins /...,1994,美国,犯罪 剧情,9.7,0,,https://movie.douban.com/subject/1292052/
霸王别姬,/ 再见，我的妾  /  Farewell My Concubine,陈凯歌 Kaige Chen,张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,1993,中国大陆 中国香港,剧情 爱情 同性,9.6,0,,https://movie.douban.com/subject/1291546/
泰坦尼克号,/ 铁达尼号(港 / 台),詹姆斯·卡梅隆 James Cameron,莱昂纳多·迪卡普里奥 Leonardo...,1997,美国,剧情 爱情 灾难,9.5,0,,https://movie.douban.com/subject/1292722/
阿甘正传,/ 福雷斯特·冈普,罗伯特·泽米吉斯 Robert Zemeckis,汤姆·汉克斯 Tom Hanks / ...,1994,美国,剧情 爱情,9.5,0,,https://movie.douban.com/subject/1292720/
千与千寻,/ 神隐少女(台)  /  千与千寻的神隐,宫崎骏 Hayao Miyazaki,柊瑠美 Rumi Hîragi / 入野自由 Miy...,2001,日本,剧情 动画 奇幻,9.4,0,,https://movie.douban.com/subject/1291561/
美丽人生,/ 一个快乐的传说(港)  /  Life Is Beautiful,罗伯托·贝尼尼 Roberto Benigni,罗伯托·贝尼尼 Roberto Beni...,1997,意大利,剧情 喜剧 爱情 战争,9.5,0,,https://movie.douban.com/subject/1292063/
星际穿越,/ 星际启示录(港)  /  星际效应(台),克里斯托弗·诺兰 Christopher Nolan,马修·麦康纳 Matthew Mc...,2014,美国 英国 加拿大,剧情 科幻 冒险,9.4,0,,https://movie.douban.com/subject/1889243/
这个杀手不太冷,/ 终极追杀令(台)  /  杀手莱昂,吕克·贝松 Luc Besson,让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,1994,法国 美国,剧情 动作 犯罪,9.4,0,,https://movie.douban.com/subject/1295644/
盗梦空间,/ 潜行凶间(港)  /  全面启动(台),克里斯托弗·诺兰 Christopher Nolan,莱昂纳多·迪卡普里奥 Le...,2010,美国 英国,剧情 科幻 悬疑 冒险,9.4,0,,https://movie.douban.com/subject/3541415/
楚门的世界,/ 真人Show(港)  /  真人戏,彼得·威尔 Peter Weir,金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,1998,美国,剧情 科幻,9.4,0,,https://movie.douban.com/subject/1292064/
辛德勒的名单,/ 舒特拉的名单(港)  /  辛德勒名单,史蒂文·斯皮尔伯格 Steven Spielberg,连姆·尼森 Liam Neeson...,1993,美国,剧情 历史 战争,9.5,0,,https://movie.douban.com/subject/1295124/
忠犬八公的故事,/ 秋田犬八千(港)  /  忠犬小八(台),莱塞·霍尔斯道姆 Lasse Hallström,理查·基尔 Richard Ger...,2009,美国 英国,剧情,9.4,0,,https://movie.douban.com/subject/3011091/
海上钢琴师,/ 声光伴我飞(港)  /  一九零零的传奇,朱塞佩·托纳多雷 Giuseppe Tornatore,蒂姆·罗斯 Tim Roth / ...,1998,意大利,剧情 音乐,9.3,0,,https://movie.douban.com/subject/1292001/
疯狂动物城,/ 优兽大都会(港)  /  动物方城市(台),拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,金妮弗·...,2016,美国,喜剧 动画 冒险,9.3,0,,https://movie.douban.com/subject/25662329/
三傻大闹宝莱坞,/ 三个傻瓜(台)  /  作死不离3兄弟(港),拉库马·希拉尼 Rajkumar Hirani,阿米尔·汗 Aamir Khan / 卡...,2009,印度,剧情 喜剧 爱情 歌舞,9.2,0,,https://movie.douban.com/subject/3793023/
机器人总动员,/ 太空奇兵·威E(港)  /  瓦力(台),安德鲁·斯坦顿 Andrew Stanton,本·贝尔特 Ben Burtt / 艾丽...,2008,美国,科幻 动画 冒险,9.3,0,,https://movie.douban.com/subject/2131459/
放牛班的春天,/ 歌声伴我心(港)  /  唱诗班男孩,克里斯托夫·巴拉蒂 Christophe Barratier,让-巴蒂斯特·莫尼...,2004,法国 瑞士 德国,剧情 音乐,9.3,0,,https://movie.douban.com/subject/1291549/
无间道,/ Infernal Affairs  /  Mou gaan dou,刘伟强 / 麦兆辉,刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W...,2002,中国香港,剧情 犯罪 惊悚,9.3,0,,https://movie.douban.com/subject/1307914/
控方证人,/ 雄才伟略  /  情妇,比利·怀尔德 Billy Wilder,泰隆·鲍华 Tyrone Power / 玛琳·...,1957,美国,剧情 犯罪 悬疑 惊悚,9.6,0,,https://movie.douban.com/subject/1296141/
寻梦环游记,/ 玩转极乐园(港)  /  可可夜总会(台),李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,...,2017,美国,喜剧 动画 奇幻 音乐,9.1,0,,https://movie.douban.com/subject/20495023/
大话西游之大圣娶亲,/ 西游记完结篇仙履奇缘  /  齐天大圣西游记,刘镇伟 Jeffrey Lau,周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.2,0,,https://movie.douban.com/subject/1292213/
熔炉,/ 无声呐喊(港)  /  漩涡,黄东赫 Dong-hyuk Hwang,孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,2011,韩国,剧情,9.3,0,,https://movie.douban.com/subject/5912992/
触不可及,/ 闪亮人生(港)  /  逆转人生(台),奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...,,2011,法国,剧情 喜剧,9.3,0,,https://movie.douban.com/subject/6786002/
教父,/ Mario Puzo's The Godfather,弗朗西斯·福特·科波拉 Francis Ford Coppola,马龙·白兰度 M...,1972,美国,剧情 犯罪,9.3,0,,https://movie.douban.com/subject/1291841/
末代皇帝,/ 末代皇帝溥仪(港)  /  L'ultimo imperatore,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,尊龙 John Lone / 陈...,1987,英国 意大利 中国大陆 法国,剧情 传记 历史,9.3,0,,https://movie.douban.com/subject/1293172/
哈利·波特与魔法石,/ 哈利波特1：神秘的魔法石(港 / 台),Chris Columbus,Daniel Radcliffe / Emma Watson / Rupert Grint,2001,美国 英国,奇幻 冒险,9.2,0,,https://movie.douban.com/subject/1295038/
当幸福来敲门,/ 寻找快乐的故事(港)  /  追求快乐,加布里尔·穆奇诺 Gabriele Muccino,威尔·史密斯 Will Smith ...,2006,美国,剧情 传记 家庭,9.1,0,,https://movie.douban.com/subject/1849031/
龙猫,/ 邻居托托罗  /  邻家的豆豆龙,宫崎骏 Hayao Miyazaki,日高法子 Noriko Hidaka / 坂本千夏 Ch...,1988,日本,动画 奇幻 冒险,9.2,0,,https://movie.douban.com/subject/1291560/
活着,/ 人生  /  Lifetimes,张艺谋 Yimou Zhang,葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,1994,中国大陆 中国香港,剧情 历史 家庭,9.3,0,,https://movie.douban.com/subject/1292365/
怦然心动,/ 萌动青春  /  青春萌动,罗伯·莱纳 Rob Reiner,玛德琳·卡罗尔 Madeline Carroll / 卡...,2010,美国,剧情 喜剧 爱情,9.1,0,,https://movie.douban.com/subject/3319755/
蝙蝠侠：黑暗骑士,/ 蝙蝠侠前传2：黑暗骑士  /  黑暗骑士(台),克里斯托弗·诺兰 Christopher Nolan,克里斯蒂安·贝尔 Christ...,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚,9.2,0,,https://movie.douban.com/subject/1851857/
指环王3：王者无敌,/ 魔戒三部曲：王者再临(台 / 港),彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩...,2003,美国 新西兰,剧情 动作 奇幻 冒险,9.3,0,,https://movie.douban.com/subject/1291552/
我不是药神,/ 中国药神  /  印度药神,文牧野 Muye Wen,徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,2018,中国大陆,剧情 喜剧,9.0,0,,https://movie.douban.com/subject/26752088/
乱世佳人,/ 飘,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,费...,1939,美国,剧情 历史 爱情 战争,9.3,0,,https://movie.douban.com/subject/1300267/
飞屋环游记,/ 冲天救兵(港)  /  天外奇迹(台),彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,爱德...,2009,美国,剧情 喜剧 动画 冒险,9.1,0,,https://movie.douban.com/subject/2129039/
让子弹飞,/ 让子弹飞一会儿  /  火烧云,姜文 Wen Jiang,姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,2010,中国大陆 中国香港,剧情 喜剧 动作 西部,9.0,0,,https://movie.douban.com/subject/3742360/
哈尔的移动城堡,/ 哈尔移动城堡(港)  /  霍尔的移动城堡(台),宫崎骏 Hayao Miyazaki,倍赏千惠子 Chieko Baishô / 木村拓...,2004,日本,爱情 动画 奇幻 冒险,9.1,0,,https://movie.douban.com/subject/1308807/
十二怒汉,/ 12怒汉  /  十二怒汉,西德尼·吕美特 Sidney Lumet,亨利·方达 Henry Fonda / 马丁...,1957,美国,剧情,9.4,0,,https://movie.douban.com/subject/1293182/
海蒂和爷爷,/ 飘零燕(港)  /  海蒂,阿兰·葛斯彭纳 Alain Gsponer,阿努克·斯特芬 Anuk Steffen /...,2015,德国 瑞士,剧情 冒险 家庭,9.3,0,,https://movie.douban.com/subject/25958717/
素媛,/ 许愿  /  希望：为爱重生(台),李濬益 Jun-ik Lee,薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,2013,韩国,剧情,9.3,0,,https://movie.douban.com/subject/21937452/
