title,other_title,director,actors,year,area,genre,rating,rating_people,quote,detail_url
纵横四海,/ Once a Thief,吴宇森 John Woo,周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...,1991,中国香港,剧情 喜剧 动作 犯罪,8.8,0,,https://movie.douban.com/subject/1295409/
无敌破坏王,/ 破坏王拉尔夫  /  破坏王大冒险,瑞奇·莫尔 Rich Moore,约翰·C·赖利 John C. Reilly / 萨拉...,2012,美国,喜剧 动画 奇幻 冒险,8.7,0,,https://movie.douban.com/subject/6534248/
卢旺达饭店,/ 卢安达饭店(台),特瑞·乔治 Terry George,唐·钱德尔 Don Cheadle / 苏菲·奥...,2004,英国 南非 意大利 美国,剧情 传记 历史 战争,8.9,0,,https://movie.douban.com/subject/1291822/
东京教父,/ Tokyo Godfathers,今敏 Satoshi Kon,江守彻 Toru Emori / 梅垣义明 Yoshiaki Ume...,2003,日本,剧情 喜剧 动画,9.0,0,,https://movie.douban.com/subject/1310177/
恐怖游轮,/ 汪洋血迷宮(台)  /  轮回三角,克里斯托弗·史密斯 Christopher Smith,梅利莎·乔治 Melissa ...,2009,英国 澳大利亚,科幻 悬疑 奇幻 惊悚,8.5,0,,https://movie.douban.com/subject/3011051/
小偷家族,/ Shoplifters  /  Une Affaire de Famille,是枝裕和 Hirokazu Koreeda,中川雅也 Lily Franky / 安藤樱 Sa...,2018,日本,剧情 犯罪 家庭,8.7,0,,https://movie.douban.com/subject/27622447/
牯岭街少年杀人事件,/ A Brighter Summer Day,杨德昌 Edward Yang,张震 Chen Chang / 杨静怡 Lisa Yang / 张...,1991,中国台湾,剧情 犯罪,8.9,0,,https://movie.douban.com/subject/1292329/
魔女宅急便,/ 魔女琪琪(台)  /  小魔女限时专送,宫崎骏 Hayao Miyazaki,高山南 Minami Takayama / 佐久间玲 Re...,1989,日本,动画 奇幻 冒险,8.7,0,,https://movie.douban.com/subject/1307811/
冰川时代,/ 冰河世纪  /  冰原历险记,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge   主演...,,2002,美国,喜剧 动画 冒险,8.7,0,,https://movie.douban.com/subject/1291578/
芙蓉镇,/ Hibiscus Town,谢晋 Jin Xie,刘晓庆 Xiaoqing Liu / 姜文 Wen Jiang / 郑在石...,1987,中国大陆,剧情 爱情,9.3,0,,https://movie.douban.com/subject/1297880/
忠犬八公物语,/ 八千公物语  /  阿八的故事,神山征二郎 Seijirô Kôyama,仲代达矢 Tatsuya Nakadai /...,1987,日本,剧情,9.2,0,,https://movie.douban.com/subject/1959195/
岁月神偷,/ 1969太空漫游  /  Echoes Of The Rainbow,罗启锐 Alex Law,吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...,2010,中国香港 中国大陆,剧情 家庭,8.7,0,,https://movie.douban.com/subject/3792799/
遗愿清单,/ 玩转身前事(港)  /  一路玩到挂(台),罗伯·莱纳 Rob Reiner,杰克·尼科尔森 Jack Nicholson / 摩根...,2007,美国,冒险 喜剧 剧情,8.7,0,,https://movie.douban.com/subject/1867345/
荒蛮故事,/ 蛮荒故事  /  生命中最抓狂的小事(台),达米安·斯兹弗隆 Damián Szifron,达里奥·葛兰帝内提 Darío...,2014,阿根廷 西班牙,剧情 喜剧 犯罪,8.7,0,,https://movie.douban.com/subject/24750126/
大佛普拉斯,/ The Great Buddha+,黄信尧 Hsin-yao Huang,庄益增 Yizeng Zhuang / 陈竹昇 Chu-sh...,2017,中国台湾,剧情 喜剧,8.7,0,,https://movie.douban.com/subject/27059130/
源代码,/ 启动原始码(台)  /  危机解密(港),邓肯·琼斯 Duncan Jones,杰克·吉伦哈尔 Jake Gyllenhaal / ...,2011,美国 加拿大,科幻 悬疑 惊悚,8.6,0,,https://movie.douban.com/subject/3075287/
花束般的恋爱,/ 她和他的恋爱花期(港)  /  爱如花束 恋恋不忘,土井裕泰 Nobuhiro Doi,菅田将晖 Masaki Suda / 有村架纯 Kasu...,2021,日本,剧情 爱情,8.6,0,,https://movie.douban.com/subject/34874432/
白日梦想家,/ 发梦王大历险(港)  /  白日梦冒险王(台),本·斯蒂勒 Ben Stiller,本·斯蒂勒 Ben Stiller / 克里斯汀·...,2013,美国 英国,剧情 喜剧 冒险,8.6,0,,https://movie.douban.com/subject/2133323/
疯狂的麦克斯4：狂暴之路,/ 末日先锋：战甲飞车(港)  /  疯狂麦斯：愤怒道(台),乔治·米勒 George Miller,汤姆·哈迪 Tom Hardy / 查理兹·塞...,2015,澳大利亚 美国,动作 科幻 冒险,8.7,0,,https://movie.douban.com/subject/3592854/
爱乐之城,/ 星声梦里人(港)  /  乐来越爱你(台),达米恩·查泽雷 Damien Chazelle,瑞恩·高斯林 Ryan Gosling /...,2016,美国,剧情 爱情 歌舞,8.4,0,,https://movie.douban.com/subject/25934014/
